condition,control,seed,config_hash,engine_version,measurement_version,world_contract_version,spatial_enabled,boundary_model,spatial_rng_stream,spatial_births,boundary_contacts,mean_parent_child_distance,max_parent_child_distance,mean_local_neighbors,mean_nearest_neighbor_distance,occupied_spatial_bins,spatial_occupancy_fraction,local_resources_enabled,organism_actions_enabled,local_resource_total,local_resource_minimum,local_resource_balance_error,resource_ledger,resource_sense_operations,movement_operations,movement_distance,movement_energy_cost,mutation_events,lineage_count,genotype_count,tick,active_population,births,deaths,max_population,active_genotypes,historical_genotypes,active_lineages,max_generation,instructions_executed,faults,blocked_divisions,waiting_for_memory,waiting_for_energy,energy_pool,memory_used,free_memory,energy_balance_error
movement-execution-off,,20,8775248ba55866d3,phase-three-vm-0.1,phase-three-measurement-0.2,phase-three-environment-0.1,True,reflective,,75,4,0.990471,,0.5,10.650782,6,0.06,True,False,34592.009091,0.0,-2e-09,,0,0,0.0,0.0,,,,2000,8,75,79,25,3,13,3,8,5013,9,7,0,7,0.0,128,372,1.6e-09
movement-execution-on,,11,02b814093c994cc9,phase-three-vm-0.1,phase-three-measurement-0.2,phase-three-environment-0.1,True,reflective,,158,0,0.930363,,0.333333,10.01448,13,0.13,True,True,30284.090909,0.0,2.3e-09,,0,1,0.0,0.0,,,,2000,18,158,152,31,2,9,1,23,10135,6,17,0,17,0.0,288,212,3.8e-09
movement-execution-on,,12,cca8f1cb41eb583f,phase-three-vm-0.1,phase-three-measurement-0.2,phase-three-environment-0.1,True,reflective,,126,1,0.930082,,2.833333,5.866795,13,0.13,True,True,31870.454545,0.0,-1.7e-09,,0,8,0.0,0.0,,,,2000,24,126,114,28,4,13,3,16,8691,6,23,0,23,0.0,384,116,2.9e-09
movement-execution-on,,13,318ff7b426151877,phase-three-vm-0.1,phase-three-measurement-0.2,phase-three-environment-0.1,True,reflective,,60,1,0.996028,,0.0,14.205125,9,0.09,True,True,36028.604545,0.0,-9e-10,,0,1,0.0,0.0,,,,2000,10,60,62,24,1,6,1,7,4156,5,10,0,10,0.0,160,340,4e-10
movement-execution-on,,14,59cd139dd78b4bbe,phase-three-vm-0.1,phase-three-measurement-0.2,phase-three-environment-0.1,True,reflective,,137,0,0.959164,,5.225806,5.05798,13,0.13,True,True,32805.2,0.0,-2.5e-09,,0,2,0.0,0.0,,,,2000,31,137,118,31,3,13,3,22,8798,10,24,19,5,0.0,496,4,2.2e-09
movement-execution-on,,15,e5b85b79e1e9dc9f,phase-three-vm-0.1,phase-three-measurement-0.2,phase-three-environment-0.1,True,reflective,,38,4,0.924952,,0.0,13.921531,7,0.07,True,True,37413.995455,0.0,-0.0,,0,1,1.0,0.1,,,,2000,7,38,43,24,1,6,1,4,2655,5,7,0,7,0.0,112,388,-6e-10
movement-execution-on,,16,dfb0aaa05f800a77,phase-three-vm-0.1,phase-three-measurement-0.2,phase-three-environment-0.1,True,reflective,,221,0,0.943938,,2.387097,5.386505,14,0.14,True,True,27240.790909,0.0,4.6e-09,,0,16,0.0,0.0,,,,2000,31,221,202,31,1,13,1,16,14550,11,31,31,0,0.0,496,4,6e-10
movement-execution-on,,17,9e6d1d2af83d4e73,phase-three-vm-0.1,phase-three-measurement-0.2,phase-three-environment-0.1,True,reflective,,171,3,0.956669,,0.105263,9.662433,16,0.16,True,True,29659.7,0.0,4.6e-09,,0,8,0.0,0.0,,,,2000,19,171,164,31,3,15,3,25,11803,11,19,0,19,0.0,304,196,2.2e-09
movement-execution-on,,18,d7c3de795276eff2,phase-three-vm-0.1,phase-three-measurement-0.2,phase-three-environment-0.1,True,reflective,,152,0,0.925998,,1.157895,5.483731,11,0.11,True,True,31020.154545,0.0,1.6e-09,,0,34,0.0,0.0,,,,2000,19,152,145,31,1,15,1,15,10870,13,19,0,19,0.0,304,196,3.7e-09
movement-execution-on,,19,62852d82f9e3b149,phase-three-vm-0.1,phase-three-measurement-0.2,phase-three-environment-0.1,True,reflective,,88,3,0.951565,,0.142857,9.539024,12,0.12,True,True,32928.409091,0.0,-3.1e-09,,0,0,0.0,0.0,,,,2000,14,88,86,27,2,6,2,6,5976,4,13,0,13,0.0,224,276,2.9e-09
