section,parameter,value,control,seed,config_hash,engine_version,measurement_version,tick,active_population,births,deaths,max_population,active_genotypes,historical_genotypes,active_lineages,lineage_count,genotype_count,mutation_events,max_generation,instructions_executed,faults,blocked_divisions,waiting_for_memory,waiting_for_energy,energy_pool,memory_used,free_memory,energy_balance_error,death_reasons,ledger,result_checksum
control,,,baseline,14,3b9d67cff39b49a5,phase-zero-vm-0.2,phase-one-measurement-0.1,2000,31,21,2,31,1,3,1,2,3,2,2,2226,2,31,31,0,0.0,496,4,-1.02e-08,"{""vm_fault:instruction_pointer_out_of_bounds:8"": 1, ""vm_fault:invalid_memory_address:8"": 1}","{""energy_captured"": 21019.5, ""energy_execution"": 111.3, ""energy_input"": 20000.0, ""energy_maintenance"": 12346.2, ""energy_released_on_death"": 19.5, ""energy_reproduction_cost"": 252.0, ""energy_transferred_to_offspring"": 168.0}",250ef430f7b1772cb03f33ea1975f68fd45f8f4c657965b3a758dbda6992a271
control,,,baseline,15,3e9b9824608e1ac0,phase-zero-vm-0.2,phase-one-measurement-0.1,2000,31,22,3,31,1,4,1,3,4,3,2,2276,3,31,31,0,0.0,496,4,-1.02e-08,"{""vm_fault:division_without_complete_copy"": 1, ""vm_fault:invalid_program_address:248"": 1, ""vm_fault:invalid_program_address:8"": 1}","{""energy_captured"": 21027.9, ""energy_execution"": 113.8, ""energy_input"": 20000.0, ""energy_maintenance"": 12342.8, ""energy_released_on_death"": 27.9, ""energy_reproduction_cost"": 264.0, ""energy_transferred_to_offspring"": 176.0}",f87379af34c82efed95917bf725ab6672a4381243474bfd1ea984211fc9dd367
control,,,baseline,16,0b819d44294e1c09,phase-zero-vm-0.2,phase-one-measurement-0.1,2000,31,19,0,31,1,1,1,1,1,0,2,2100,0,31,31,0,0.0,496,4,-1.02e-08,{},"{""energy_captured"": 21000.0, ""energy_execution"": 105.0, ""energy_input"": 20000.0, ""energy_maintenance"": 12352.0, ""energy_released_on_death"": 0.0, ""energy_reproduction_cost"": 228.0, ""energy_transferred_to_offspring"": 152.0}",7b5126d968b3b34c6f16afe91d25f7989bc7b06fdf3f335d81d4906cdb316424
control,,,baseline,17,b2f5e47fcced7441,phase-zero-vm-0.2,phase-one-measurement-0.1,2000,31,20,1,31,1,2,1,1,2,1,2,3614,0,31,31,0,0.0,496,4,-1.02e-08,"{""energy_exhausted_execution"": 1}","{""energy_captured"": 21000.0, ""energy_execution"": 180.3, ""energy_input"": 20000.0, ""energy_maintenance"": 12352.0, ""energy_released_on_death"": 0.0, ""energy_reproduction_cost"": 240.0, ""energy_transferred_to_offspring"": 160.0}",937d55afa561a517599e5a665e2c6a9ae28462843656172ae9adb8e9e3cf3246
control,,,baseline,18,00503b7ec207c861,phase-zero-vm-0.2,phase-one-measurement-0.1,2000,31,19,0,31,2,2,1,1,2,1,2,2100,0,30,30,0,0.0,496,4,-1.02e-08,{},"{""energy_captured"": 21000.0, ""energy_execution"": 105.0, ""energy_input"": 20000.0, ""energy_maintenance"": 12352.0, ""energy_released_on_death"": 0.0, ""energy_reproduction_cost"": 228.0, ""energy_transferred_to_offspring"": 152.0}",25cd5755aa3db242986227e2a72f9945856ad43c22dac02d8ca34893644ab883
control,,,baseline,19,4ad7c4ce55fba492,phase-zero-vm-0.2,phase-one-measurement-0.1,2000,31,21,2,31,1,3,1,2,3,2,2,2268,2,31,31,0,0.0,496,4,-1.02e-08,"{""vm_fault:instruction_pointer_out_of_bounds:8"": 1, ""vm_fault:invalid_program_address:8"": 1}","{""energy_captured"": 21021.4, ""energy_execution"": 113.4, ""energy_input"": 20000.0, ""energy_maintenance"": 12349.6, ""energy_released_on_death"": 21.4, ""energy_reproduction_cost"": 252.0, ""energy_transferred_to_offspring"": 168.0}",dcc31d8086a1f48e17054e62dc201f354df689d5a1478ec6f24afb78bb1e260f
control,,,baseline,20,7459e1b194d0a7f9,phase-zero-vm-0.2,phase-one-measurement-0.1,2000,31,22,3,31,1,4,1,3,4,3,2,2280,3,31,31,0,0.0,496,4,-1.02e-08,"{""vm_fault:division_without_complete_copy"": 1, ""vm_fault:invalid_program_address:8"": 1, ""vm_fault:invalid_register:7"": 1}","{""energy_captured"": 21027.7, ""energy_execution"": 114.0, ""energy_input"": 20000.0, ""energy_maintenance"": 12346.2, ""energy_released_on_death"": 27.7, ""energy_reproduction_cost"": 264.0, ""energy_transferred_to_offspring"": 176.0}",e411e80f5b788490d5ca6606e1785e3183be917384af019c6806284e1fa721f7
control,,,baseline,21,6ac916025e145a5d,phase-zero-vm-0.2,phase-one-measurement-0.1,2000,31,20,1,31,1,2,1,1,2,1,2,2149,1,31,31,0,0.0,496,4,-1.02e-08,"{""vm_fault:invalid_program_address:255"": 1}","{""energy_captured"": 21008.45, ""energy_execution"": 107.45, ""energy_input"": 20000.0, ""energy_maintenance"": 12352.0, ""energy_released_on_death"": 8.45, ""energy_reproduction_cost"": 240.0, ""energy_transferred_to_offspring"": 160.0}",96e43f53317c9fa4570f56c4ba013bf722767e6ba32f41850301caf1c85fedd6
control,,,baseline,22,d502fb069a160b2a,phase-zero-vm-0.2,phase-one-measurement-0.1,2000,31,20,1,31,1,2,1,1,2,1,2,2148,1,31,31,0,0.0,496,4,-1.02e-08,"{""vm_fault:division_without_complete_copy"": 1}","{""energy_captured"": 21008.5, ""energy_execution"": 107.4, ""energy_input"": 20000.0, ""energy_maintenance"": 12348.6, ""energy_released_on_death"": 8.5, ""energy_reproduction_cost"": 240.0, ""energy_transferred_to_offspring"": 160.0}",358bb23363dc3fde4d75ec16eb806c8575e53a264fcbeb1e70a99fe0f19c887c
control,,,baseline,23,e4b38c015164d2de,phase-zero-vm-0.2,phase-one-measurement-0.1,2000,31,20,1,31,2,3,2,2,3,2,2,2183,1,31,31,0,0.0,496,4,-1.02e-08,"{""vm_fault:division_without_complete_copy"": 1}","{""energy_captured"": 21010.75, ""energy_execution"": 109.15, ""energy_input"": 20000.0, ""energy_maintenance"": 12349.6, ""energy_released_on_death"": 10.75, ""energy_reproduction_cost"": 240.0, ""energy_transferred_to_offspring"": 160.0}",0d359d45c44e0185928b8c6698c8243128d6bbfcf93ad3483554b889578b5c26
control,,,baseline,24,e00072311fde385a,phase-zero-vm-0.2,phase-one-measurement-0.1,2000,31,21,2,31,1,3,1,2,3,2,2,2233,2,31,31,0,0.0,496,4,-1.02e-08,"{""vm_fault:division_without_complete_copy"": 1, ""vm_fault:invalid_program_address:8"": 1}","{""energy_captured"": 21019.15, ""energy_execution"": 111.65, ""energy_input"": 20000.0, ""energy_maintenance"": 12349.6, ""energy_released_on_death"": 19.15, ""energy_reproduction_cost"": 252.0, ""energy_transferred_to_offspring"": 168.0}",4909f1630b3b2c5f55606b9b3506c220046910cba0043b6717101fbb40e18ff9
control,,,baseline,25,291f1f48f94d9c1a,phase-zero-vm-0.2,phase-one-measurement-0.1,2000,31,20,1,31,1,2,1,1,2,1,2,2184,1,31,31,0,0.0,496,4,-1.02e-08,"{""vm_fault:instruction_pointer_out_of_bounds:8"": 1}","{""energy_captured"": 21010.7, ""energy_execution"": 109.2, ""energy_input"": 20000.0, ""energy_maintenance"": 12352.0, ""energy_released_on_death"": 10.7, ""energy_reproduction_cost"": 240.0, ""energy_transferred_to_offspring"": 160.0}",1a283152693b78c49b29dc7684f6bc6eeb55beb5331111c4f760d714990c3c93
control,,,baseline,26,9c8bcc6c9cf24143,phase-zero-vm-0.2,phase-one-measurement-0.1,2000,31,20,1,31,2,3,2,2,3,2,2,3278,0,30,30,0,0.0,496,4,-1.02e-08,"{""energy_exhausted_execution"": 1}","{""energy_captured"": 21000.0, ""energy_execution"": 163.7, ""energy_input"": 20000.0, ""energy_maintenance"": 12351.8, ""energy_released_on_death"": 0.0, ""energy_reproduction_cost"": 240.0, ""energy_transferred_to_offspring"": 160.0}",539d68810ea9cc4966ae9b0b6a7538f0fbb01b7c0e8bd51b4037519810a6f64d
control,,,baseline,27,08f7a7d4e510f96a,phase-zero-vm-0.2,phase-one-measurement-0.1,2000,31,20,1,31,1,2,1,1,2,1,2,2168,1,31,31,0,0.0,496,4,-1.02e-08,"{""vm_fault:division_without_complete_copy"": 1}","{""energy_captured"": 21009.9, ""energy_execution"": 108.4, ""energy_input"": 20000.0, ""energy_maintenance"": 12349.2, ""energy_released_on_death"": 9.9, ""energy_reproduction_cost"": 240.0, ""energy_transferred_to_offspring"": 160.0}",800e573914a2787cbb0d7c2628c3ff0b9502844febcc074f28776428f0947bcc
control,,,baseline,28,32f27cd4cf9c699d,phase-zero-vm-0.2,phase-one-measurement-0.1,2000,31,20,1,31,1,2,1,1,2,1,2,2181,1,31,31,0,0.0,496,4,-1.02e-08,"{""vm_fault:invalid_program_address:8"": 1}","{""energy_captured"": 21010.05, ""energy_execution"": 109.05, ""energy_input"": 20000.0, ""energy_maintenance"": 12349.4, ""energy_released_on_death"": 10.05, ""energy_reproduction_cost"": 240.0, ""energy_transferred_to_offspring"": 160.0}",37f69143d05aa9dea5f4c8b0ec503881ac43f079730bf1f22542e7d3fef8a475
control,,,baseline,29,a7ca645643b0ee72,phase-zero-vm-0.2,phase-one-measurement-0.1,2000,31,21,2,31,1,3,1,2,3,2,2,2196,2,31,31,0,0.0,496,4,-1.02e-08,"{""vm_fault:division_without_complete_copy"": 1, ""vm_fault:invalid_register:7"": 1}","{""energy_captured"": 21017.0, ""energy_execution"": 109.8, ""energy_input"": 20000.0, ""energy_maintenance"": 12345.2, ""energy_released_on_death"": 17.0, ""energy_reproduction_cost"": 252.0, ""energy_transferred_to_offspring"": 168.0}",cc1c2d7d270776cb609bc07093215b72c6168453f1c91434a8dd3aa7ea2797ee
control,,,baseline,30,c0963953ad59834f,phase-zero-vm-0.2,phase-one-measurement-0.1,2000,31,21,2,31,1,3,1,2,3,2,2,3385,1,31,31,0,0.0,496,4,-1.02e-08,"{""energy_exhausted_maintenance"": 1, ""vm_fault:division_without_complete_copy"": 1}","{""energy_captured"": 21010.75, ""energy_execution"": 169.25, ""energy_input"": 20000.0, ""energy_maintenance"": 12349.4, ""energy_released_on_death"": 10.75, ""energy_reproduction_cost"": 252.0, ""energy_transferred_to_offspring"": 168.0}",8cf8badefee2b3ce61e2a39bc44d59ce93fa7826982c65eb1f92e1bebf374fcd
control,,,mutation_zero,1,49d541894fbb8481,phase-zero-vm-0.2,phase-one-measurement-0.1,2000,31,19,0,31,1,1,1,1,1,0,2,2100,0,31,31,0,0.0,496,4,-1.02e-08,{},"{""energy_captured"": 21000.0, ""energy_execution"": 105.0, ""energy_input"": 20000.0, ""energy_maintenance"": 12352.0, ""energy_released_on_death"": 0.0, ""energy_reproduction_cost"": 228.0, ""energy_transferred_to_offspring"": 152.0}",844c77f006c495107ad9a6eff837b0f2df0d5e3efeb172b198d01d06ed61f8ea
control,,,mutation_zero,2,fb0f3f180a703989,phase-zero-vm-0.2,phase-one-measurement-0.1,2000,31,19,0,31,1,1,1,1,1,0,2,2100,0,31,31,0,0.0,496,4,-1.02e-08,{},"{""energy_captured"": 21000.0, ""energy_execution"": 105.0, ""energy_input"": 20000.0, ""energy_maintenance"": 12352.0, ""energy_released_on_death"": 0.0, ""energy_reproduction_cost"": 228.0, ""energy_transferred_to_offspring"": 152.0}",f020445e1f679c7ddb1228c1466d7d9de06dd85e18092208b9af6699123a2f6f
control,,,mutation_zero,3,c1fe4cd272376015,phase-zero-vm-0.2,phase-one-measurement-0.1,2000,31,19,0,31,1,1,1,1,1,0,2,2100,0,31,31,0,0.0,496,4,-1.02e-08,{},"{""energy_captured"": 21000.0, ""energy_execution"": 105.0, ""energy_input"": 20000.0, ""energy_maintenance"": 12352.0, ""energy_released_on_death"": 0.0, ""energy_reproduction_cost"": 228.0, ""energy_transferred_to_offspring"": 152.0}",54cea424363b81478b02c87e173bb63d84643a1e632306cefb1b4216109fae6a
control,,,mutation_zero,4,81a34c3fd752feca,phase-zero-vm-0.2,phase-one-measurement-0.1,2000,31,19,0,31,1,1,1,1,1,0,2,2100,0,31,31,0,0.0,496,4,-1.02e-08,{},"{""energy_captured"": 21000.0, ""energy_execution"": 105.0, ""energy_input"": 20000.0, ""energy_maintenance"": 12352.0, ""energy_released_on_death"": 0.0, ""energy_reproduction_cost"": 228.0, ""energy_transferred_to_offspring"": 152.0}",070ac4448e61a9f44f3c54794a5804fb4957e21f7e06d67219f86c3b153c659b
control,,,mutation_zero,5,883768d148915787,phase-zero-vm-0.2,phase-one-measurement-0.1,2000,31,19,0,31,1,1,1,1,1,0,2,2100,0,31,31,0,0.0,496,4,-1.02e-08,{},"{""energy_captured"": 21000.0, ""energy_execution"": 105.0, ""energy_input"": 20000.0, ""energy_maintenance"": 12352.0, ""energy_released_on_death"": 0.0, ""energy_reproduction_cost"": 228.0, ""energy_transferred_to_offspring"": 152.0}",3802657bebdde2e9834e2af6d64088211fd16bd023af09937f437934eec0e65b
control,,,mutation_zero,6,2b75217e27c9d169,phase-zero-vm-0.2,phase-one-measurement-0.1,2000,31,19,0,31,1,1,1,1,1,0,2,2100,0,31,31,0,0.0,496,4,-1.02e-08,{},"{""energy_captured"": 21000.0, ""energy_execution"": 105.0, ""energy_input"": 20000.0, ""energy_maintenance"": 12352.0, ""energy_released_on_death"": 0.0, ""energy_reproduction_cost"": 228.0, ""energy_transferred_to_offspring"": 152.0}",71b1094b938e03949405790b3f2166d0760fd84441d49e8039bb34172cfed94b
control,,,mutation_zero,7,1e0d787cb307656d,phase-zero-vm-0.2,phase-one-measurement-0.1,2000,31,19,0,31,1,1,1,1,1,0,2,2100,0,31,31,0,0.0,496,4,-1.02e-08,{},"{""energy_captured"": 21000.0, ""energy_execution"": 105.0, ""energy_input"": 20000.0, ""energy_maintenance"": 12352.0, ""energy_released_on_death"": 0.0, ""energy_reproduction_cost"": 228.0, ""energy_transferred_to_offspring"": 152.0}",8e9997b2b4802b04ba504c24eca16149ae797790519e7aa207919909834dab74
control,,,mutation_zero,8,f31f5bae737a8f4c,phase-zero-vm-0.2,phase-one-measurement-0.1,2000,31,19,0,31,1,1,1,1,1,0,2,2100,0,31,31,0,0.0,496,4,-1.02e-08,{},"{""energy_captured"": 21000.0, ""energy_execution"": 105.0, ""energy_input"": 20000.0, ""energy_maintenance"": 12352.0, ""energy_released_on_death"": 0.0, ""energy_reproduction_cost"": 228.0, ""energy_transferred_to_offspring"": 152.0}",cee32cb50daf86a74600c4588a19bffb17a0711442d1da0745c6be948dfc82f6
control,,,mutation_zero,9,511918fbe09e4be3,phase-zero-vm-0.2,phase-one-measurement-0.1,2000,31,19,0,31,1,1,1,1,1,0,2,2100,0,31,31,0,0.0,496,4,-1.02e-08,{},"{""energy_captured"": 21000.0, ""energy_execution"": 105.0, ""energy_input"": 20000.0, ""energy_maintenance"": 12352.0, ""energy_released_on_death"": 0.0, ""energy_reproduction_cost"": 228.0, ""energy_transferred_to_offspring"": 152.0}",72091edd5c90628a7c42640b27590fcfc560d01ce9b27a09d08348751efc5ed0
control,,,mutation_zero,10,ac092384d2fe00aa,phase-zero-vm-0.2,phase-one-measurement-0.1,2000,31,19,0,31,1,1,1,1,1,0,2,2100,0,31,31,0,0.0,496,4,-1.02e-08,{},"{""energy_captured"": 21000.0, ""energy_execution"": 105.0, ""energy_input"": 20000.0, ""energy_maintenance"": 12352.0, ""energy_released_on_death"": 0.0, ""energy_reproduction_cost"": 228.0, ""energy_transferred_to_offspring"": 152.0}",00fdb46de3d113e242957cbc56465d79656c5481c497fb8772c46bc3bab8235c
control,,,mutation_zero,11,be3cc20b559e72c2,phase-zero-vm-0.2,phase-one-measurement-0.1,2000,31,19,0,31,1,1,1,1,1,0,2,2100,0,31,31,0,0.0,496,4,-1.02e-08,{},"{""energy_captured"": 21000.0, ""energy_execution"": 105.0, ""energy_input"": 20000.0, ""energy_maintenance"": 12352.0, ""energy_released_on_death"": 0.0, ""energy_reproduction_cost"": 228.0, ""energy_transferred_to_offspring"": 152.0}",330792388af852d16be2b7a0aaff4d2de36927d03effeba96353e6410f526361
control,,,mutation_zero,12,c876e667d92c365c,phase-zero-vm-0.2,phase-one-measurement-0.1,2000,31,19,0,31,1,1,1,1,1,0,2,2100,0,31,31,0,0.0,496,4,-1.02e-08,{},"{""energy_captured"": 21000.0, ""energy_execution"": 105.0, ""energy_input"": 20000.0, ""energy_maintenance"": 12352.0, ""energy_released_on_death"": 0.0, ""energy_reproduction_cost"": 228.0, ""energy_transferred_to_offspring"": 152.0}",f0907d8e14d723071474ca1272a1431438e8f46bcd8e58e6628e79df46794bdf
control,,,mutation_zero,13,7ec914a2eba9f712,phase-zero-vm-0.2,phase-one-measurement-0.1,2000,31,19,0,31,1,1,1,1,1,0,2,2100,0,31,31,0,0.0,496,4,-1.02e-08,{},"{""energy_captured"": 21000.0, ""energy_execution"": 105.0, ""energy_input"": 20000.0, ""energy_maintenance"": 12352.0, ""energy_released_on_death"": 0.0, ""energy_reproduction_cost"": 228.0, ""energy_transferred_to_offspring"": 152.0}",2dba35fa2331f4e8428e8909d2aef27c96cec50bed4e5e23895e1f3e0e75f2e0
control,,,mutation_zero,14,5bbb5dad1ee1c143,phase-zero-vm-0.2,phase-one-measurement-0.1,2000,31,19,0,31,1,1,1,1,1,0,2,2100,0,31,31,0,0.0,496,4,-1.02e-08,{},"{""energy_captured"": 21000.0, ""energy_execution"": 105.0, ""energy_input"": 20000.0, ""energy_maintenance"": 12352.0, ""energy_released_on_death"": 0.0, ""energy_reproduction_cost"": 228.0, ""energy_transferred_to_offspring"": 152.0}",8ef892fcc6411924915cf66277059a8abf9a8a929c38bea2b0fedc76490d9587
control,,,mutation_zero,15,189c86c11cda53ba,phase-zero-vm-0.2,phase-one-measurement-0.1,2000,31,19,0,31,1,1,1,1,1,0,2,2100,0,31,31,0,0.0,496,4,-1.02e-08,{},"{""energy_captured"": 21000.0, ""energy_execution"": 105.0, ""energy_input"": 20000.0, ""energy_maintenance"": 12352.0, ""energy_released_on_death"": 0.0, ""energy_reproduction_cost"": 228.0, ""energy_transferred_to_offspring"": 152.0}",366da8eba962424258422196fcf271ff93d7fb6355e3335fbb9488f4086e1f96
control,,,mutation_zero,16,6f53e6b51af1c9bb,phase-zero-vm-0.2,phase-one-measurement-0.1,2000,31,19,0,31,1,1,1,1,1,0,2,2100,0,31,31,0,0.0,496,4,-1.02e-08,{},"{""energy_captured"": 21000.0, ""energy_execution"": 105.0, ""energy_input"": 20000.0, ""energy_maintenance"": 12352.0, ""energy_released_on_death"": 0.0, ""energy_reproduction_cost"": 228.0, ""energy_transferred_to_offspring"": 152.0}",4e57d342a83625b6e53601ded9111f7d6f5df8c7db5e0712a432a054bb7b775c
control,,,mutation_zero,17,9770b51d34c2343e,phase-zero-vm-0.2,phase-one-measurement-0.1,2000,31,19,0,31,1,1,1,1,1,0,2,2100,0,31,31,0,0.0,496,4,-1.02e-08,{},"{""energy_captured"": 21000.0, ""energy_execution"": 105.0, ""energy_input"": 20000.0, ""energy_maintenance"": 12352.0, ""energy_released_on_death"": 0.0, ""energy_reproduction_cost"": 228.0, ""energy_transferred_to_offspring"": 152.0}",f25d69d1e8a99717c9d2b6ea7daef9fd7b120f0c5a76a671a3aff18429c71d64
control,,,mutation_zero,18,db4c2a394d2d279e,phase-zero-vm-0.2,phase-one-measurement-0.1,2000,31,19,0,31,1,1,1,1,1,0,2,2100,0,31,31,0,0.0,496,4,-1.02e-08,{},"{""energy_captured"": 21000.0, ""energy_execution"": 105.0, ""energy_input"": 20000.0, ""energy_maintenance"": 12352.0, ""energy_released_on_death"": 0.0, ""energy_reproduction_cost"": 228.0, ""energy_transferred_to_offspring"": 152.0}",f652950b525963a736ce388b362faef4515f9d8b5f3ad3eca00ad46996c2b9a1
